,,X11BR047,X11BR043,X11BR049,X11BR023,X18BR010,X06BR003,X11BR074,X18BR017,X01BR017,X06BR006,X09BR005,X11BR017,X01BR015,X11BR025,X01BR001,X11BR031,X01BR032,X05BR045,X11BR053,X01BR027,X14BR008,X18BR002,X03BR013,X11BR032,X21BR010,X03BR004,X11BR003,X11BR028,X18BR004,X20BR005,X11BR073,X11BR009,X18BR019,X20BR001,X09BR007,X11BR020,X20BR002,X11BR019,X20BR008,X01BR033,X11BR022,X11BR013,X03BR010,X20BR007,X11BR030,X18BR007,X11BR050,X05BR001,X11BR014,X22BR005,X11BR010,X01BR031,X11BR011,X03BR005,X18BR003,X11BR024,X05BR016,X01BR030,X01BR018,X05BR042,X11BR054,X05BR044,X11BR006,X14BR005,X11BR044,X11BR016,X11BR055,X06BR005,X11BR042,X11BR018,X05BR009,X01BR025,X11BR015,X11BR040,X11BR004,X01BR043,X05BR003,X05BR029,X05BR043,X05BR026,X11BR056,X11BR038,X11BR036,X18BR009,X18BR006,X22BR006,X11BR072,X11BR027,X01BR040,X11BR059,X11BR051,X05BR038,X11BR060,X09BR004,X11BR075,X03BR002,X16BR012,X06BR014,CPT001846,X18BR016,X05BR005,X13BR009,X11BR080,CPT000814,X01BR042,X15BR003,X14BR014,X11BR058,X11BR012,X01BR009,X01BR008,X21BR001,X21BR002,X01BR026,X05BR004,X03BR006,X01BR023,X01BR020,X20BR006,X09BR001,X03BR011,X01BR010
ACTN1,S6s ,0.2936,-1.9643,-0.9256,-2.6409,-0.8071,-1.6271,-0.2209,-0.3238,3.3634,-0.4123,-0.8764,0.3713,2.5265,-1.9159,4.7032,-1.0035,-2.4233,-1.1491,-2.6852,4.6344,-1.1699,0.6138,-0.7496,-1.1097,-1.3055,-2.4654,-1.5304,-2.2083,0.1602,-0.3578,-4.0564,-3.7055,-3.237,-2.2017,-4.3241,-1.4693,1.3138,-2.3295,0.2043,1.0337,-1.4409999999999998,-1.4907,-1.7105,1.4492,-1.2973,-1.3834,-1.6030000000000002,-0.9124,-0.4068,-3.679,-0.7185,1.9816,-2.7407,-0.7211,-2.4091,-2.4016,-1.6465,-0.1825,-0.3767,-0.4151,-1.7831,-0.9556,-0.0517,-3.4238,-2.4244,-2.1167,-0.7318,-0.0336,-0.0161,-0.992,-1.304,-1.7176,-2.7384,-1.9373,-1.4012,0.039,-2.2973,-2.4789,1.2958,-1.3985,-0.5766,-0.9718,-0.3114,-0.657,-0.1624,-1.0672,-0.5396,-1.8421,1.2504,-0.117,0.2577,-0.4124,0.1122,-0.6018,-0.5769,0.1054,0.564,-1.4833,2.2291,-0.8698,0.8575,-0.7209,-1.9586,2.4453,-0.5397,-1.729,1.006,-0.1219,-1.7263,1.5863,-0.6652,-1.4077,-0.6252,2.7589,-0.9871,0.4518,0.2806,2.527,3.8957,-1.2438,-1.0101,0.0602
BAZ2A,S1783s ,-1.2947,1.582,-0.477,1.59,-1.0283,-0.4885,-1.1886,-1.0135,1.0415,0.4428,-0.0322,1.1677,1.4091,0.6437,0.3684,1.3175,0.4922,0.2716,-0.5658,1.5397,-1.8825,-1.0778,-1.1292,-1.9827,-2.4033,-1.188,-1.2338,0.4921,0.3937,-0.6505,0.5162,-0.7723,-0.6204,-1.2744,-0.3566,-0.8289,-0.0496,-1.2355,-1.0668,0.1248,0.7764,-1.1397,-1.3562,0.1892,-0.1084,0.8565,-1.5439,0.6178,-1.6089,0.633,-1.3772,1.1652,-1.2428,-1.0613,-0.7152,0.202,0.2186,-1.2312,-0.13,1.6247,-0.0025,-0.6599,-1.1704,0.426,1.3434,0.4058,-2.1337,-0.2632,-0.89,-2.426,-1.4553,-0.9768,0.6348,-1.5931,-1.1372,1.139,-0.5354,1.2147,-0.1955,-1.484,-2.9859,-0.3774,-1.0541,-0.4979,1.2501,-2.6583,-2.0412,-1.3104,-1.3816,-1.227,-1.3219999999999998,0.3385,0.2299,2.5023,-0.1166,-1.6966,-0.6898,-0.8716,-0.7656,-1.4169999999999998,-2.1372,0.5622,0.3827,0.6333,0.4854,-0.9702,-1.5883,0.1799,-0.3733,-0.1113,1.6142,0.6517,-0.7857,-0.4602,-1.3132,1.3633,-0.6044,1.68,0.5886,-1.3409,-0.6894,-0.5041
BRCA2,S93s ,-1.5739,0.5702,-1.1614,0.5241,-0.3049,-0.4632,-0.1234,-1.0908,0.6366,-1.3899,-0.5082,0.7435,-0.2912,0.0243,-1.0751,0.7216,-0.7227,-0.1515,,,,,,,,,,,,,,,,,,,0.1314,-1.0613,-0.0194,-1.0582,-0.0671,-1.3886,-1.7402,1.6835,-0.3452,-0.0778,-0.6429,0.6435,-0.5515,-0.0438,-1.3123,-0.2786,-0.5434,-0.8938,-0.861,0.904,0.0694,-1.4863,1.9859,2.0634,-0.383,-0.9972,-0.3866,0.1555,-0.0048,1.2867,-1.2625,-0.7838,-0.7447,-1.7508,-0.52,-0.87,-0.8553,-0.9107,-0.2301,1.1749,-1.2481,0.8316,0.3151,-1.4947,-2.3948,-0.0511,0.8852,-0.8941,-0.547,-1.4681,-0.7949,0.0126,1.921,-0.2098,-0.5925,-0.293,1.3238,0.7868,-0.9932,-1.7451,-0.5282,-0.9867,-0.1659,-2.2879,-1.6079,-0.4189,0.665,1.7816,1.4526,-0.6208,-1.6139,-0.4381,-0.8927,-0.4771,-0.3462,-1.9442,-0.8422,-1.1383,-2.3289,0.3469,-2.0538,1.9798,0.0023,-2.3204,-1.4202,-2.1969
C12orf45,S178s ,-3.6418,0.3764,-1.4522,0.1373,-0.2151,-0.652,-1.8246,-4.2837,1.0323,0.6936,-1.415,2.1981,0.6233,-0.5693,-0.6559,-0.6903,-1.2416,0.9872,-1.021,2.0913,-1.6608,0.7831,-1.7858,-2.9657,-1.9312,-2.7581,-1.8523,,,,,,,,,,-0.0759,0.265,1.1133,0.6859,-0.4281,-1.5804,-0.5173,1.5398,-0.1429,-0.296,-1.452,1.814,-1.7834,0.8815,-2.3757,0.1966,-2.0237,-0.6586,-1.3142,-0.3969,-0.2288,0.7897,0.5006,2.9992,-0.1285,0.8526,-0.7227,0.4884,1.2819,1.4792,-0.5435,-1.0278,0.65,-0.787,-0.5465,0.1031,0.2834,-1.0123,0.5797,2.2438,0.3778,1.9014,0.6898,-2.1433,-2.8686,-1.2344,-0.9625,-0.9633,-0.4232,-2.4108,-1.3796,-0.4612,0.5324,-0.3553,-0.8111,-0.6209,0.5334,-0.3684,-0.6303,-1.2196,-0.8124,-1.1243,-0.8029999999999999,-1.0465,-1.8032,-0.7994,0.9981,-0.0896,0.9507,-0.2944,-0.4491,1.3758,0.6428,-0.8852,1.2126,-0.044,-1.597,-0.1426,-0.0713,0.0764,-0.324,2.2974,1.3474,-0.7716,-1.374,-0.607
C17orf49,S96s ,-1.1685,0.2572,0.1649,1.8283,-1.0399,-1.9054,-0.3489,-0.6667,0.3805,-0.6663,-0.1721,1.769,-0.0426,1.3906,1.0024,-0.1624,-0.071,0.922,-1.0317,0.305,-2.6528,-1.1193,-2.4587,-1.6489,-3.1284,-2.4327,1.2404,-0.9366,-1.0697,-0.3093,-0.131,-0.9513,-1.7384,-2.345,-0.1299,-1.0271,0.1654,-1.7728,-1.2641,-0.9436,-0.6112,1.4015,-1.6269,0.6814,-0.2542,-0.5813,-2.2332,0.3921,-1.3702,-0.0324,-1.0934,1.7658,-0.6506,-0.7190000000000001,-0.2549,1.2542,-0.2252,-1.2747,-0.1318,2.3112,-0.0995,-1.3894,-1.1767,-0.0414,-0.2871,0.1548,-0.8519,-0.7909999999999999,-2.0768,-2.6895,-1.018,-0.8233,-0.1741,-0.8758,-0.6906,0.7639,-0.6779999999999999,0.6434,1.6285,-1.1686,-1.921,-0.0886,1.9193,-0.9512,-0.0385,-2.0937,-1.8312,-1.8461,1.5406,-0.8357,-1.8686,-1.7462,-0.5726,1.7856,-1.0706,-0.8819,0.9076,-1.8423,-0.5798,-1.9295,-2.342,0.7244,1.3745,1.5337,0.3578,-1.8414,-1.1698,-0.8041,-0.2961,-2.4876,0.7428,-1.8421,-1.5077,0.4067,-1.7406,0.8043,-1.0698,0.5357,0.0466,-0.9794,-0.9038,-1.6061
C6orf106,S215s ,-2.7001,0.2895,-2.7325,1.6096,-1.7117,-1.1288,-1.7242,-2.2027,1.8666,-0.9094,-1.7141,-0.2366,0.8819,0.2824,0.2098,-1.4115,-0.6326,1.4618,-0.4703,2.0952,-1.9254,0.1922,-1.1958,-3.2334,-2.6244,-1.8697,-1.3019,0.0018,-0.197,-0.4808,0.6727,-1.5398,-0.2497,-0.0879,-2.1172,-0.1084,0.523,-0.8068,0.3288,-0.115,-0.1116,-0.7506,-1.0374,1.591,-1.8244,0.6918,-2.1725,0.1536,-3.1286,-0.6022,-1.7678,0.8590000000000001,-1.9997,-0.7275,-1.1311,0.7839,-1.1488,-0.7481,0.4676,3.0382,1.0826,-1.3731,-2.4133,-0.0542,0.7064,2.5572,-1.0302,-1.1001,-0.5449,-2.1626,-2.1255,1.151,-1.0662,-2.8973,-2.1019,2.0832,-2.047,1.1284,-0.2056,-2.7884,-2.7854,-1.4313,2.2172,-2.0447,-0.823,-1.9229,-1.1339,0.1203,2.4243,-1.2943,-1.1599,0.6319,-0.6943,2.0049,-0.5422,-2.1009,-2.5584,-2.3128,1.0443,-2.6602,-3.9599,-1.6253,1.8677,1.6456,1.0794,-1.8814,-1.7727,-0.4269,-1.6877,-0.7432,0.5602,-2.479,-2.2662,-1.3363,-2.939,-1.0646,-1.0899,1.4823,1.0085,-1.5433,-1.3493,-0.9592
CD3EAP,S287s ,-1.995,-0.8536,-1.8388,1.8936,-2.0443,-1.7147,-2.7996,-3.3383,2.5659,-0.7326,-1.7655,1.3594,-0.2926,-1.5242,0.9735,-3.2761,-1.9329,0.2867,-0.9774,3.7051,-1.5824,0.1042,-2.3993,-1.8745,-3.4637,-2.4613,-1.6346,-0.2182,-1.3006,0.664,0.531,-1.4178,-1.7305,-1.5306,-1.819,-1.5208,0.2279,-1.3709,-0.9674,-0.0992,-0.9517,-1.8865,-2.3921,-0.0667,-2.0079,0.3032,-2.5696,0.5462,-1.6357,-2.0084,-2.2601,-2.3898,-1.7164,-1.2086,-1.3764,1.2441,-2.1999,-1.3588,-1.1967,3.4934,-0.9174,-0.8486,-0.7829,-0.7393,1.2529,3.1501,-0.0809,-0.8489,0.4926,-0.9905,-3.3677,-0.304,-1.1321,-1.998,-2.5326,1.9059,-2.6188,0.9906,1.9728,-2.4837,-1.6393,-1.1875,-0.4416,-0.7228,-1.3793,-2.491,-1.5553,-2.1961,2.8092,-1.5928,-1.4558,-1.6672,-2.6147,-0.4597,-0.9625,-2.6764,-1.9361,-1.9782,0.9924,-2.2654,-1.5386,-1.2107,2.7861,2.3094,2.2841,-2.7142,-1.245,-1.1364,-2.0123,0.0641,1.592,-2.1242,-2.082,0.4067,-1.545,2.6010000000000004,-0.1602,1.9543,-0.1183,-0.634,-2.6459,-0.183
CENPC,S177s ,-0.8247,0.5339,-0.438,1.1787,-0.0056,1.4112,-0.5701,-0.3496,0.379,-0.9326,-1.0163,0.2786,-0.6841,1.1219,-0.3404,-0.2966,-1.2479,2.555,-1.1555,1.4409999999999998,-2.2861,-1.028,-0.8701,-1.9423,-2.9017,-0.6414,-0.6046,1.0325,-0.5606,0.0972,0.55,0.0142,-0.0071,-1.0243,-2.1936,-0.2895,0.1994,-0.8455,-0.2458,-0.5062,-1.0868,0.7118,-1.685,1.6362,-0.4127,0.1022,-1.6046,0.0819999999999999,-1.6342,-0.3834,-2.2671,1.0163,-1.7357,-0.3269,-0.1021,0.0362,-1.3967,-0.3521,2.2465,2.5711,-0.3566,-0.3196,0.3797,0.4676,0.444,0.4582,0.1835,0.4038,0.3614,-0.5267,-0.6768,-0.6097,-0.7621,-1.9328,-0.7799,0.7376,-0.2238,1.1396,2.1782,-0.324,-1.2595,-0.3511,0.0445,-0.3923,0.5591,-1.3269,-0.8663,,,,,,,,,-1.4271,-0.4688,-0.1833,-0.6642,-1.1451,-0.8155,-1.2328,1.6926,0.7724,1.3818,-0.7070000000000001,-0.1656,-0.7399,-1.1753,1.9401,1.3841,-0.5684,-0.8367,0.0446,-1.1798,3.1273,-1.0215,1.2794,-0.3672,-1.5447,-0.4505,-0.5429999999999999
CENPC,S73s ,-2.1149,0.2653,-0.0869,1.6243,-1.8514,0.5509,-2.3106,-1.4555,-0.0673,-0.821,-1.423,-0.5112,-0.6798,1.0126,-0.7916,-0.7726,-0.3019,1.4648,0.5039,-0.0201,-2.017,-1.3716,-1.4169999999999998,-1.88,-1.2999,-2.056,0.197,0.7849,-1.4843,-0.2963,0.8567,-0.8876,-1.3539,-1.7899,-1.3777,-1.6369999999999998,-0.518,0.0298,-2.6547,-0.9844,-1.0287,-0.012,-1.9329,2.786,-1.084,0.0543,-2.0362,-1.1381,-2.6066,-1.58,-2.7856,2.0151,-2.6686,-0.7105,0.273,0.4168,-1.147,-1.5268,1.8782,2.7513,0.7083,-0.9749,0.5089,0.1347,0.8059,1.8457,-0.5936,-1.3044,-0.3047,-0.6371,-1.431,-0.3267,0.5918,-2.0541,-0.3274,1.0252,1.3624,0.6131,2.4877,-1.2114,-3.575,-0.3605,1.4448,-0.4131,0.1918,-2.3673,-2.4104,0.1176,-1.2395,-0.7648,-0.7169,-0.9305,-0.6764,0.9269,0.353,-1.9571,-0.036,-0.72,-2.1315,-2.3675,-2.2554,-0.9991,0.2246,-2.2503,0.855,-2.1185,-1.8188,-1.1605,-1.256,0.4511,0.8809,-0.1011,-1.1047,0.3622,-1.5073,1.3617,-0.4453,0.5332,-0.0175,-1.0590000000000002,-0.2732,-1.4768
CENPC,T130t ,-3.3437,0.8651,-0.1277,1.8887,-4.1795,1.4618,-1.6325,-1.3445,-0.3188,-2.0483,-1.2188,-0.8217,-1.0985,1.0825,-1.2153,-0.7708,-0.8619,1.9773,0.6124,1.0606,-3.4156,-1.7849,-1.2659,-2.6264,-3.4675,-1.7325,-0.6179,0.4662,-1.0914,-0.1844,0.6177,-0.3817,-1.8863,-2.3664,-3.1288,-1.3035,-0.8196,-1.5138,-1.7469,-0.3758,-1.3503,0.89,-1.668,2.5242,-1.0887,-0.4492,-3.748,-0.5381,-2.9049,-0.5225,-2.6192,2.0485,-1.2395,-1.8232,-0.0274,-0.2193,-1.3716,-1.4548,1.8487,2.0874,-0.073,-2.1159,0.7246,-0.1839,1.1335,1.2313,-2.3039,-0.5506,-0.3673,-2.1926,-1.3702,-0.7872,0.3508,-2.8488,-0.6827,0.7292,-0.2686,1.5093,1.8296,-0.536,-2.2924,-1.3863,1.3997,-1.0792,0.8394,-2.3568,-1.9355,-0.1664,-1.1299,-1.0395,0.0974,-2.1752,0.701,0.7848,1.4965,-2.0419,-1.5015,-1.3404,-1.4485,-1.8879,-2.2963,,,,,,,,,0.6990000000000001,0.4142,0.0996,-0.7237,0.2932,-1.1596,1.1977,-1.0875,1.3917,0.5596,-1.1453,0.3666,-1.7106
